               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.025998,             0.01013,          0.00075706,             0.94015,             0.93383,             0.96187,             0.69483,            0.022048,           0.0041009,          0.00030238,           0.0077725,           0.0077725,           0.0077725
                  47,            0.025863,              0.0102,          0.00072072,             0.93431,             0.94454,             0.96896,             0.69725,            0.021899,           0.0040702,          0.00034351,            0.007723,            0.007723,            0.007723
                  48,            0.025889,            0.010091,          0.00063435,             0.92605,             0.93172,             0.96358,              0.6983,            0.022102,           0.0040813,           0.0007083,           0.0076735,           0.0076735,           0.0076735
                  49,            0.025817,            0.010191,           0.0007985,             0.93954,             0.93396,             0.96592,             0.69946,            0.021954,            0.004064,          0.00060805,            0.007624,            0.007624,            0.007624
                  50,            0.025812,           0.0099183,           0.0006376,             0.93531,             0.93608,             0.96296,              0.7035,            0.021904,           0.0040407,          0.00028277,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025579,            0.010036,          0.00064476,             0.93769,             0.93566,             0.96252,             0.70396,             0.02188,            0.004032,          0.00026527,            0.007525,            0.007525,            0.007525
                  52,             0.02575,            0.010106,          0.00080687,             0.94656,             0.93859,             0.96618,             0.70383,            0.021931,           0.0040113,          0.00040024,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025424,            0.010057,          0.00064958,             0.95447,             0.94373,             0.97318,             0.70902,            0.021721,           0.0039602,          0.00019398,            0.007426,            0.007426,            0.007426
                  54,             0.02561,           0.0099979,          0.00069836,              0.9474,             0.94044,             0.96596,             0.70586,            0.021521,           0.0039841,          0.00070329,           0.0073765,           0.0073765,           0.0073765
                  55,            0.025549,           0.0099918,          0.00067761,             0.94997,             0.94611,             0.97006,             0.70709,            0.021437,           0.0039586,            0.000284,            0.007327,            0.007327,            0.007327
                  56,            0.025367,           0.0098927,          0.00054517,             0.95046,             0.94527,             0.97027,             0.70748,            0.021664,           0.0039847,          0.00016917,           0.0072775,           0.0072775,           0.0072775
